"","state","fips","date","cases","deaths","daily_cases","daily_cases_avg","daily_deaths","daily_deaths_avg","daily_cases_avg_per","daily_deaths_avg_per","weekly_cases_per100k","weekly_deaths_per100k"
"2257","Maryland","24",2020-05-12,34174,1756,691,993.857142857143,73,52.2857142857143,0.000164391291443997,8.64844224069324e-06,115.073904010798,6.05390956848527
"2258","Maryland","24",2020-05-13,34927,1809,753,952,53,52.2857142857143,0.000157467811726721,8.64844224069324e-06,110.227468208704,6.05390956848527
"2259","Maryland","24",2020-05-14,36021,1866,1094,935,57,51.8571428571429,0.000154655886517315,8.57755336986788e-06,108.25912056212,6.00428735890752
"2260","Maryland","24",2020-05-15,37105,1911,1084,930.428571428571,45,50.1428571428571,0.000153899738561844,8.29399788656646e-06,107.729816993291,5.80579852059652
"2261","Maryland","24",2020-05-16,38083,1957,978,920.714285714286,46,49,0.00015229292415647,8.10496089769885e-06,106.605046909529,5.6734726283892
"2262","Maryland","24",2020-05-17,38920,1992,837,889.571428571429,35,49.7142857142857,0.000147141666209827,8.22310901574111e-06,102.999166346879,5.75617631101878
"2263","Maryland","24",2020-05-18,39882,2023,962,914.142857142857,31,48.5714285714286,0.000151205961470481,8.0340720268735e-06,105.844173029337,5.62385041881145
"2264","Maryland","24",2020-05-19,41664,2081,1782,1070,58,46.4285714285714,0.000176985880827301,7.67962767274673e-06,123.890116579111,5.37573937092271
"2265","Maryland","24",2020-05-20,42442,2123,778,1073.57142857143,42,44.8571428571429,0.000177576621417513,7.41970181305376e-06,124.303634992259,5.19379126913763
"2266","Maryland","24",2020-05-21,43645,2159,1203,1089.14285714286,36,41.8571428571429,0.000180152250390834,6.92347971727628e-06,126.106575273584,4.8464358020934
"2267","Maryland","24",2020-05-22,44539,2207,894,1062,48,42.2857142857143,0.000175662621905228,6.99436858810163e-06,122.96383533366,4.89605801167114
"2268","Maryland","24",2020-05-23,45608,2243,1069,1075,36,40.8571428571429,0.000177812917653597,6.75807235201712e-06,124.469042357518,4.73065064641198
"2269","Maryland","24",2020-05-24,46919,2277,1311,1142.71428571429,34,40.7142857142857,0.000189013359244003,6.73444272840867e-06,132.309351470802,4.71410990988607
"2270","Maryland","24",2020-05-25,47754,2302,835,1124.57142857143,25,39.8571428571429,0.00018601239704573,6.59266498675796e-06,130.208677932011,4.61486549073057
"2271","Maryland","24",2020-05-26,48290,2333,536,946.571428571429,31,36,0.000156569886029599,5.95466514932977e-06,109.59892022072,4.16826560453084
"2272","Maryland","24",2020-05-27,49042,2392,752,942.857142857143,59,38.4285714285714,0.00015595551581578,6.35636875067344e-06,109.168861071046,4.44945812547141
"2273","Maryland","24",2020-05-28,50334,2428,1292,955.571428571429,36,38.4285714285714,0.000158058552316932,6.35636875067344e-06,110.640986621852,4.44945812547141
"2274","Maryland","24",2020-05-29,51631,2466,1297,1013.14285714286,38,37,0.000167581290631138,6.12007251458893e-06,117.306903441796,4.28405076021225
"2275","Maryland","24",2020-05-30,52662,2509,1031,1007.71428571429,43,38,0.000166683364934017,6.28547987984809e-06,116.678355453812,4.39983591589366
"2276","Maryland","24",2020-05-31,53456,2532,794,933.857142857143,23,36.4285714285714,0.000154466849528447,6.02555402015512e-06,108.126794669913,4.21788781410859
"2277","Maryland","24",2020-06-01,54035,2552,579,897.285714285714,20,35.7142857142857,0.000148417665884684,5.90740590211287e-06,103.892366119279,4.13518413147901
"2278","Maryland","24",2020-06-02,54831,2597,796,934.428571428571,45,37.7142857142857,0.000154561368022881,6.23822063263119e-06,108.192957616017,4.36675444284183
"2279","Maryland","24",2020-06-03,55617,2641,786,939.285714285714,44,35.5714285714286,0.000155364775225568,5.88377627850441e-06,108.755342657898,4.11864339495309
"2280","Maryland","24",2020-06-04,56490,2668,873,879.428571428571,27,34.2857142857143,0.000145463962933627,5.67110966602835e-06,101.824774053539,3.96977676621985
